label	exit_code	command
phase1_script_pre_hash	0	sha256sum -c /home/dev/ws_iap/src/iap/results/icra27/icra029/phase1_verification.sha256
phase1_script_syntax	0	bash -n /home/dev/ws_iap/src/iap/results/icra27/icra029/phase1_verification.sh
accepted_hashes_pre	0	bash -c $'\n  set -u -o pipefail\n  printf "%s  %s\\n" \\\n    72dd0f3148ec40dec590fb11e8dc0534a1f89ef906f9171b6e791a77a19f0b20 include/iap/sim/demo11_publication_stamp_authority.hpp \\\n    48208f4b4f90c88d2fbb5edbf107607a6c1f794df5c683cb5d1e7db144cd0c07 test/test_demo11_publication_stamp_authority.cpp \\\n    92754f9fdc7a1a7492c3cc895ca112adc0a121a025ca5756b259378edd0f616f results/icra27/icra028/install/lib/libiap.so \\\n    a65dc85dd987e0c030b0b2c777d007513633c80a4e17878a4d9052756d45d4ff results/icra27/icra028/build_iap/test_demo11_publication_stamp_authority \\\n    e00b0d4857c5529bf75c933336af61ba8176b7b675a4485b148d2d6ec7e814c7 results/icra27/icra028/build_iap/test_run_log_manager \\\n    | sha256sum -c -\n'
icra028_evidence_aggregate	0	bash -c $'\n  set -u -o pipefail\n  count=$(git ls-files results/icra27/icra028 | wc -l)\n  aggregate=$(git ls-files -z results/icra27/icra028 | sort -z | xargs -0 sha256sum | sha256sum | awk "{print \\$1}")\n  printf "count=%s aggregate=%s\\n" "$count" "$aggregate"\n  test "$count" -eq 26\n  test "$aggregate" = 8336d74e3bc49aed622d1d92fa73f145211f87a202fbb3fe729a780889fbadb4\n  git diff --exit-code HEAD -- results/icra27/icra028\n'
test_test_planner_launch	0	python3 test/test_test_planner_launch.py
test_gate0_runner	0	python3 test/test_gate0_runner.py
selected_root_regressions	0	ctest --test-dir /home/dev/ws_iap/src/iap/results/icra27/icra028/build_iap --output-on-failure -R \^\(test_demo11_publication_stamp_authority\|test_run_log_manager\|test_integrity_snapshot\|test_local_occupancy\|test_risk_grid_map\)\$
ldd_demo11	0	ldd /home/dev/ws_iap/src/iap/results/icra27/icra028/build_iap/demo11_corridor_map_publisher
ldd_run_log_manager	0	ldd /home/dev/ws_iap/src/iap/results/icra27/icra028/build_iap/test_run_log_manager
semantic_linkage_assertion	0	bash -c $'\n  set -u -o pipefail\n  demo_log=$1\n  manager_log=$2\n  expected=$3\n  retained_root=$4\n\n  grep -H "not found" "$demo_log" "$manager_log"\n  grep_rc=$?\n  case "$grep_rc" in\n    0)\n      printf "prohibited_not_found_match=1\\n"\n      exit 1\n      ;;\n    1)\n      ;;\n    *)\n      printf "not_found_search_error=%s\\n" "$grep_rc"\n      exit 70\n      ;;\n  esac\n\n  for log in "$demo_log" "$manager_log"; do\n    while IFS= read -r resolution; do\n      case "$resolution" in\n        */results/icra27/*/build*/*)\n          printf "build_tree_resolution=%s\\n" "$resolution"\n          exit 1\n          ;;\n      esac\n      case "$resolution" in\n        */results/icra27/icra[0-9]*/*)\n          case "$resolution" in\n            "$retained_root"/*)\n              ;;\n            *)\n              printf "stale_task_resolution=%s\\n" "$resolution"\n              exit 1\n              ;;\n          esac\n          ;;\n      esac\n    done < <(awk \'$2 == "=>" {print $3}\' "$log")\n  done\n\n  manager_total=$(awk \'$1 == "libiap.so" && $2 == "=>" {n++} END {print n+0}\' "$manager_log")\n  manager_exact=$(awk -v expected="$expected" \'$1 == "libiap.so" && $2 == "=>" && $3 == expected {n++} END {print n+0}\' "$manager_log")\n  demo_total=$(awk \'$1 == "libiap.so" && $2 == "=>" {n++} END {print n+0}\' "$demo_log")\n  demo_exact=$(awk -v expected="$expected" \'$1 == "libiap.so" && $2 == "=>" && $3 == expected {n++} END {print n+0}\' "$demo_log")\n  printf "manager_total=%s manager_exact=%s demo_total=%s demo_exact=%s expected=%s\\n" \\\n    "$manager_total" "$manager_exact" "$demo_total" "$demo_exact" "$expected"\n  test "$manager_total" -eq 1\n  test "$manager_exact" -eq 1\n  test "$demo_total" -le 1\n  test "$demo_exact" -eq "$demo_total"\n' _ /home/dev/ws_iap/src/iap/results/icra27/icra029/logs/ldd_demo11.log /home/dev/ws_iap/src/iap/results/icra27/icra029/logs/ldd_run_log_manager.log /home/dev/ws_iap/src/iap/results/icra27/icra028/install/lib/libiap.so /home/dev/ws_iap/src/iap/results/icra27/icra028/install
accepted_hashes_post	0	bash -c $'\n  set -u -o pipefail\n  printf "%s  %s\\n" \\\n    72dd0f3148ec40dec590fb11e8dc0534a1f89ef906f9171b6e791a77a19f0b20 include/iap/sim/demo11_publication_stamp_authority.hpp \\\n    48208f4b4f90c88d2fbb5edbf107607a6c1f794df5c683cb5d1e7db144cd0c07 test/test_demo11_publication_stamp_authority.cpp \\\n    92754f9fdc7a1a7492c3cc895ca112adc0a121a025ca5756b259378edd0f616f results/icra27/icra028/install/lib/libiap.so \\\n    a65dc85dd987e0c030b0b2c777d007513633c80a4e17878a4d9052756d45d4ff results/icra27/icra028/build_iap/test_demo11_publication_stamp_authority \\\n    e00b0d4857c5529bf75c933336af61ba8176b7b675a4485b148d2d6ec7e814c7 results/icra27/icra028/build_iap/test_run_log_manager \\\n    | sha256sum -c -\n'
